image_name,image_id,object_id,class_number,class_name,y_min,x_min,y_max,x_max,f1,f2,y_min_sqrt,x_min_sqrt,y_max_sqrt,x_max_sqrt,prediction_sqrt,prediction,distance
1623701099.0946827.png,0,0,1,person,204,451,305,492,20.5,50.5,14.28,21.24,17.46,22.18,0.94,0.88,250
1622212165.8680692.jpg,0,0,1,person,62,330,359,450,60,148.5,7.87,18.17,18.95,21.21,0.87,0.76,82
1623701099.0946827.png,0,2,1,person,201,115,329,152,18.5,64,14.18,10.72,18.14,12.33,0.91,0.84,250
1622212305.4986682.jpg,1,2,1,person,116,151,348,249,49,116,10.77,12.29,18.65,15.78,0.97,0.93,136
1622212305.4986682.jpg,1,3,1,person,96,270,340,346,38,122,9.80,16.43,18.44,18.60,0.95,0.91,135
1623701004.15833.png,1,4,1,person,156,247,343,315,34,93.5,12.49,15.72,18.52,17.75,0.94,0.88,180
1622212305.4986682.jpg,1,4,1,person,64,432,355,518,43,145.5,8.00,20.78,18.84,22.76,0.94,0.88,136
1622212305.4986682.jpg,1,5,1,person,91,5,351,90,42.5,130,9.54,2.24,18.73,9.49,0.93,0.87,176
1623701004.15833.png,1,7,1,person,185,303,331,341,19,73,13.60,17.41,18.19,18.47,0.79,0.62,240
1622212305.4986682.jpg,1,9,1,person,231,1,331,87,43,50,15.20,1.00,18.19,9.33,0.59,0.35,180
1623701647.5634027.png,2,8,1,person,223,132,305,199,33.5,41,14.93,11.49,17.46,14.11,0.97,0.93,250
1623701647.5634027.png,2,10,1,person,226,395,289,423,14,31.5,15.03,19.87,17.00,20.57,0.89,0.79,250
1622212293.9947753.jpg,2,10,1,person,130,296,298,357,30.5,84,11.40,17.20,17.26,18.89,0.96,0.92,237
1622212293.9947753.jpg,2,11,1,person,107,381,307,458,38.5,100,10.34,19.52,17.52,21.40,0.96,0.92,238
1622212293.9947753.jpg,2,12,1,person,47,0,370,198,99,161.5,6.86,0.00,19.24,14.07,0.95,0.89,67
1622212293.9947753.jpg,2,13,1,person,146,220,304,267,23.5,79,12.08,14.83,17.44,16.34,0.94,0.89,235
1622212293.9947753.jpg,2,14,1,person,195,121,244,156,17.5,24.5,13.96,11.00,15.62,12.49,0.89,0.79,250
1623701449.5943103.png,3,12,1,person,224,399,290,429,15,33,14.97,19.97,17.03,20.71,0.93,0.87,250
